"SERNO","RadmonID","MACID","RadiationLevel","Location","Department","RadiationStatus","DateTime","RecordNo","RadmonType","Temperature","BatteryVoltage","BatteryCurrent","Health","DataString","RadiationCPM","Dummy","Mdate"
"15182","1",NULL,"98","NG (OUT)","RSSD","48","2018-06-22 00:00:49","42086",NULL,NULL,NULL,NULL,NULL," 42086,1,48,98,22/6/2018 0:0:49",NULL,NULL,"2018-07-02 17:08:23"
"15183","1",NULL,"88","NG (OUT)","RSSD","48","2018-06-22 00:02:49","42087",NULL,NULL,NULL,NULL,NULL," 42087,1,48,88,22/6/2018 0:2:49",NULL,NULL,"2018-07-02 17:08:23"
"15184","1",NULL,"86","NG (OUT)","RSSD","48","2018-06-22 00:04:49","42088",NULL,NULL,NULL,NULL,NULL," 42088,1,48,86,22/6/2018 0:4:49",NULL,NULL,"2018-07-02 17:08:23"
"15185","1",NULL,"65","NG (OUT)","RSSD","48","2018-06-22 00:06:49","42089",NULL,NULL,NULL,NULL,NULL," 42089,1,48,65,22/6/2018 0:6:49",NULL,NULL,"2018-07-02 17:08:23"
"15186","1",NULL,"46","NG (OUT)","RSSD","48","2018-06-22 00:08:49","42090",NULL,NULL,NULL,NULL,NULL," 42090,1,48,46,22/6/2018 0:8:49",NULL,NULL,"2018-07-02 17:08:24"
"15187","1",NULL,"87","NG (OUT)","RSSD","48","2018-06-22 00:10:49","42091",NULL,NULL,NULL,NULL,NULL," 42091,1,48,87,22/6/2018 0:10:49",NULL,NULL,"2018-07-02 17:08:24"
"15188","1",NULL,"91","NG (OUT)","RSSD","48","2018-06-22 00:12:49","42092",NULL,NULL,NULL,NULL,NULL," 42092,1,48,91,22/6/2018 0:12:49",NULL,NULL,"2018-07-02 17:08:24"
"15189","1",NULL,"93","NG (OUT)","RSSD","48","2018-06-22 00:14:49","42093",NULL,NULL,NULL,NULL,NULL," 42093,1,48,93,22/6/2018 0:14:49",NULL,NULL,"2018-07-02 17:08:25"
"15190","1",NULL,"85","NG (OUT)","RSSD","48","2018-06-22 00:16:49","42094",NULL,NULL,NULL,NULL,NULL," 42094,1,48,85,22/6/2018 0:16:49",NULL,NULL,"2018-07-02 17:08:25"
"15191","1",NULL,"80","NG (OUT)","RSSD","48","2018-06-22 00:18:49","42095",NULL,NULL,NULL,NULL,NULL," 42095,1,48,80,22/6/2018 0:18:49",NULL,NULL,"2018-07-02 17:08:25"
"15192","1",NULL,"70","NG (OUT)","RSSD","48","2018-06-22 00:20:49","42096",NULL,NULL,NULL,NULL,NULL," 42096,1,48,70,22/6/2018 0:20:49",NULL,NULL,"2018-07-02 17:08:25"
"15193","1",NULL,"50","NG (OUT)","RSSD","48","2018-06-22 00:22:49","42097",NULL,NULL,NULL,NULL,NULL," 42097,1,48,50,22/6/2018 0:22:49",NULL,NULL,"2018-07-02 17:08:26"
"15194","1",NULL,"88","NG (OUT)","RSSD","48","2018-06-22 00:24:49","42098",NULL,NULL,NULL,NULL,NULL," 42098,1,48,88,22/6/2018 0:24:49",NULL,NULL,"2018-07-02 17:08:26"
"15195","1",NULL,"104","NG (OUT)","RSSD","48","2018-06-22 00:26:49","42099",NULL,NULL,NULL,NULL,NULL," 42099,1,48,104,22/6/2018 0:26:49",NULL,NULL,"2018-07-02 17:08:26"
"15196","1",NULL,"95","NG (OUT)","RSSD","48","2018-06-22 00:28:49","42100",NULL,NULL,NULL,NULL,NULL," 42100,1,48,95,22/6/2018 0:28:49",NULL,NULL,"2018-07-02 17:08:27"
"15197","1",NULL,"85","NG (OUT)","RSSD","48","2018-06-22 00:30:49","42101",NULL,NULL,NULL,NULL,NULL," 42101,1,48,85,22/6/2018 0:30:49",NULL,NULL,"2018-07-02 17:08:27"
"15198","1",NULL,"118","NG (OUT)","RSSD","48","2018-06-22 00:32:49","42102",NULL,NULL,NULL,NULL,NULL," 42102,1,48,118,22/6/2018 0:32:49",NULL,NULL,"2018-07-02 17:08:27"
"15199","1",NULL,"62","NG (OUT)","RSSD","48","2018-06-22 00:34:49","42103",NULL,NULL,NULL,NULL,NULL," 42103,1,48,62,22/6/2018 0:34:49",NULL,NULL,"2018-07-02 17:08:28"
"15200","1",NULL,"68","NG (OUT)","RSSD","48","2018-06-22 00:36:49","42104",NULL,NULL,NULL,NULL,NULL," 42104,1,48,68,22/6/2018 0:36:49",NULL,NULL,"2018-07-02 17:08:28"
"15201","1",NULL,"97","NG (OUT)","RSSD","48","2018-06-22 00:38:49","42105",NULL,NULL,NULL,NULL,NULL," 42105,1,48,97,22/6/2018 0:38:49",NULL,NULL,"2018-07-02 17:08:28"
"15202","1",NULL,"56","NG (OUT)","RSSD","48","2018-06-22 00:40:49","42106",NULL,NULL,NULL,NULL,NULL," 42106,1,48,56,22/6/2018 0:40:49",NULL,NULL,"2018-07-02 17:08:28"
"15203","1",NULL,"76","NG (OUT)","RSSD","48","2018-06-22 00:42:49","42107",NULL,NULL,NULL,NULL,NULL," 42107,1,48,76,22/6/2018 0:42:49",NULL,NULL,"2018-07-02 17:08:29"
"15204","1",NULL,"77","NG (OUT)","RSSD","48","2018-06-22 00:44:49","42108",NULL,NULL,NULL,NULL,NULL," 42108,1,48,77,22/6/2018 0:44:49",NULL,NULL,"2018-07-02 17:08:29"
"15205","1",NULL,"59","NG (OUT)","RSSD","48","2018-06-22 00:46:49","42109",NULL,NULL,NULL,NULL,NULL," 42109,1,48,59,22/6/2018 0:46:49",NULL,NULL,"2018-07-02 17:08:29"
"15206","1",NULL,"63","NG (OUT)","RSSD","48","2018-06-22 00:48:49","42110",NULL,NULL,NULL,NULL,NULL," 42110,1,48,63,22/6/2018 0:48:49",NULL,NULL,"2018-07-02 17:08:29"
"15207","1",NULL,"68","NG (OUT)","RSSD","48","2018-06-22 00:50:49","42111",NULL,NULL,NULL,NULL,NULL," 42111,1,48,68,22/6/2018 0:50:49",NULL,NULL,"2018-07-02 17:08:30"
"15208","1",NULL,"49","NG (OUT)","RSSD","48","2018-06-22 00:52:49","42112",NULL,NULL,NULL,NULL,NULL," 42112,1,48,49,22/6/2018 0:52:49",NULL,NULL,"2018-07-02 17:08:30"
"15209","1",NULL,"48","NG (OUT)","RSSD","48","2018-06-22 00:54:49","42113",NULL,NULL,NULL,NULL,NULL," 42113,1,48,48,22/6/2018 0:54:49",NULL,NULL,"2018-07-02 17:08:30"
"15210","1",NULL,"88","NG (OUT)","RSSD","48","2018-06-22 00:56:49","42114",NULL,NULL,NULL,NULL,NULL," 42114,1,48,88,22/6/2018 0:56:49",NULL,NULL,"2018-07-02 17:08:31"
"15211","1",NULL,"89","NG (OUT)","RSSD","48","2018-06-22 00:58:49","42115",NULL,NULL,NULL,NULL,NULL," 42115,1,48,89,22/6/2018 0:58:49",NULL,NULL,"2018-07-02 17:08:31"
"15212","1",NULL,"97","NG (OUT)","RSSD","48","2018-06-22 01:00:49","42116",NULL,NULL,NULL,NULL,NULL," 42116,1,48,97,22/6/2018 1:0:49",NULL,NULL,"2018-07-02 17:08:31"
"15213","1",NULL,"79","NG (OUT)","RSSD","48","2018-06-22 01:02:49","42117",NULL,NULL,NULL,NULL,NULL," 42117,1,48,79,22/6/2018 1:2:49",NULL,NULL,"2018-07-02 17:08:32"
"15214","1",NULL,"81","NG (OUT)","RSSD","48","2018-06-22 01:04:49","42118",NULL,NULL,NULL,NULL,NULL," 42118,1,48,81,22/6/2018 1:4:49",NULL,NULL,"2018-07-02 17:08:32"
"15215","1",NULL,"104","NG (OUT)","RSSD","48","2018-06-22 01:06:49","42119",NULL,NULL,NULL,NULL,NULL," 42119,1,48,104,22/6/2018 1:6:49",NULL,NULL,"2018-07-02 17:08:32"
"15216","1",NULL,"115","NG (OUT)","RSSD","48","2018-06-22 01:08:49","42120",NULL,NULL,NULL,NULL,NULL," 42120,1,48,115,22/6/2018 1:8:49",NULL,NULL,"2018-07-02 17:08:32"
"15217","1",NULL,"88","NG (OUT)","RSSD","48","2018-06-22 01:10:49","42121",NULL,NULL,NULL,NULL,NULL," 42121,1,48,88,22/6/2018 1:10:49",NULL,NULL,"2018-07-02 17:08:33"
"15218","1",NULL,"68","NG (OUT)","RSSD","48","2018-06-22 01:12:49","42122",NULL,NULL,NULL,NULL,NULL," 42122,1,48,68,22/6/2018 1:12:49",NULL,NULL,"2018-07-02 17:08:33"
"15219","1",NULL,"98","NG (OUT)","RSSD","48","2018-06-22 01:14:49","42123",NULL,NULL,NULL,NULL,NULL," 42123,1,48,98,22/6/2018 1:14:49",NULL,NULL,"2018-07-02 17:08:33"
"15220","1",NULL,"91","NG (OUT)","RSSD","48","2018-06-22 01:16:49","42124",NULL,NULL,NULL,NULL,NULL," 42124,1,48,91,22/6/2018 1:16:49",NULL,NULL,"2018-07-02 17:08:33"
"15221","1",NULL,"85","NG (OUT)","RSSD","48","2018-06-22 01:18:49","42125",NULL,NULL,NULL,NULL,NULL," 42125,1,48,85,22/6/2018 1:18:49",NULL,NULL,"2018-07-02 17:08:34"
"15222","1",NULL,"87","NG (OUT)","RSSD","48","2018-06-22 01:20:49","42126",NULL,NULL,NULL,NULL,NULL," 42126,1,48,87,22/6/2018 1:20:49",NULL,NULL,"2018-07-02 17:08:34"
"15223","1",NULL,"88","NG (OUT)","RSSD","48","2018-06-22 01:22:49","42127",NULL,NULL,NULL,NULL,NULL," 42127,1,48,88,22/6/2018 1:22:49",NULL,NULL,"2018-07-02 17:08:34"
"15224","1",NULL,"64","NG (OUT)","RSSD","48","2018-06-22 01:24:49","42128",NULL,NULL,NULL,NULL,NULL," 42128,1,48,64,22/6/2018 1:24:49",NULL,NULL,"2018-07-02 17:08:34"
"15225","1",NULL,"91","NG (OUT)","RSSD","48","2018-06-22 01:26:49","42129",NULL,NULL,NULL,NULL,NULL," 42129,1,48,91,22/6/2018 1:26:49",NULL,NULL,"2018-07-02 17:08:35"
"15226","1",NULL,"75","NG (OUT)","RSSD","48","2018-06-22 01:28:49","42130",NULL,NULL,NULL,NULL,NULL," 42130,1,48,75,22/6/2018 1:28:49",NULL,NULL,"2018-07-02 17:08:35"
"15227","1",NULL,"91","NG (OUT)","RSSD","48","2018-06-22 01:30:49","42131",NULL,NULL,NULL,NULL,NULL," 42131,1,48,91,22/6/2018 1:30:49",NULL,NULL,"2018-07-02 17:08:35"
"15228","1",NULL,"83","NG (OUT)","RSSD","48","2018-06-22 01:32:49","42132",NULL,NULL,NULL,NULL,NULL," 42132,1,48,83,22/6/2018 1:32:49",NULL,NULL,"2018-07-02 17:08:36"
"15229","1",NULL,"71","NG (OUT)","RSSD","48","2018-06-22 01:34:49","42133",NULL,NULL,NULL,NULL,NULL," 42133,1,48,71,22/6/2018 1:34:49",NULL,NULL,"2018-07-02 17:08:36"
"15230","1",NULL,"72","NG (OUT)","RSSD","48","2018-06-22 01:36:49","42134",NULL,NULL,NULL,NULL,NULL," 42134,1,48,72,22/6/2018 1:36:49",NULL,NULL,"2018-07-02 17:08:36"
"15231","1",NULL,"114","NG (OUT)","RSSD","48","2018-06-22 01:38:49","42135",NULL,NULL,NULL,NULL,NULL," 42135,1,48,114,22/6/2018 1:38:49",NULL,NULL,"2018-07-02 17:08:36"
"15232","1",NULL,"75","NG (OUT)","RSSD","48","2018-06-22 01:40:49","42136",NULL,NULL,NULL,NULL,NULL," 42136,1,48,75,22/6/2018 1:40:49",NULL,NULL,"2018-07-02 17:08:37"
"15233","1",NULL,"70","NG (OUT)","RSSD","48","2018-06-22 01:42:49","42137",NULL,NULL,NULL,NULL,NULL," 42137,1,48,70,22/6/2018 1:42:49",NULL,NULL,"2018-07-02 17:08:37"
"15234","1",NULL,"109","NG (OUT)","RSSD","48","2018-06-22 01:44:49","42138",NULL,NULL,NULL,NULL,NULL," 42138,1,48,109,22/6/2018 1:44:49",NULL,NULL,"2018-07-02 17:08:37"
"15235","1",NULL,"109","NG (OUT)","RSSD","48","2018-06-22 01:46:49","42139",NULL,NULL,NULL,NULL,NULL," 42139,1,48,109,22/6/2018 1:46:49",NULL,NULL,"2018-07-02 17:08:37"
"15236","1",NULL,"69","NG (OUT)","RSSD","48","2018-06-22 01:48:49","42140",NULL,NULL,NULL,NULL,NULL," 42140,1,48,69,22/6/2018 1:48:49",NULL,NULL,"2018-07-02 17:08:38"
"15237","1",NULL,"55","NG (OUT)","RSSD","48","2018-06-22 01:50:49","42141",NULL,NULL,NULL,NULL,NULL," 42141,1,48,55,22/6/2018 1:50:49",NULL,NULL,"2018-07-02 17:08:38"
"15238","1",NULL,"53","NG (OUT)","RSSD","48","2018-06-22 01:52:49","42142",NULL,NULL,NULL,NULL,NULL," 42142,1,48,53,22/6/2018 1:52:49",NULL,NULL,"2018-07-02 17:08:38"
"15239","1",NULL,"43","NG (OUT)","RSSD","48","2018-06-22 01:54:49","42143",NULL,NULL,NULL,NULL,NULL," 42143,1,48,43,22/6/2018 1:54:49",NULL,NULL,"2018-07-02 17:08:39"
"15240","1",NULL,"92","NG (OUT)","RSSD","48","2018-06-22 01:56:49","42144",NULL,NULL,NULL,NULL,NULL," 42144,1,48,92,22/6/2018 1:56:49",NULL,NULL,"2018-07-02 17:08:39"
"15241","1",NULL,"89","NG (OUT)","RSSD","48","2018-06-22 01:58:49","42145",NULL,NULL,NULL,NULL,NULL," 42145,1,48,89,22/6/2018 1:58:49",NULL,NULL,"2018-07-02 17:08:39"
"15242","1",NULL,"87","NG (OUT)","RSSD","48","2018-06-22 02:00:49","42146",NULL,NULL,NULL,NULL,NULL," 42146,1,48,87,22/6/2018 2:0:49",NULL,NULL,"2018-07-02 17:08:40"
"15243","1",NULL,"59","NG (OUT)","RSSD","48","2018-06-22 02:02:49","42147",NULL,NULL,NULL,NULL,NULL," 42147,1,48,59,22/6/2018 2:2:49",NULL,NULL,"2018-07-02 17:08:40"
"15244","1",NULL,"71","NG (OUT)","RSSD","48","2018-06-22 02:04:49","42148",NULL,NULL,NULL,NULL,NULL," 42148,1,48,71,22/6/2018 2:4:49",NULL,NULL,"2018-07-02 17:08:40"
"15245","1",NULL,"112","NG (OUT)","RSSD","48","2018-06-22 02:06:49","42149",NULL,NULL,NULL,NULL,NULL," 42149,1,48,112,22/6/2018 2:6:49",NULL,NULL,"2018-07-02 17:08:40"
"15246","1",NULL,"62","NG (OUT)","RSSD","48","2018-06-22 02:08:49","42150",NULL,NULL,NULL,NULL,NULL," 42150,1,48,62,22/6/2018 2:8:49",NULL,NULL,"2018-07-02 17:08:41"
"15247","1",NULL,"78","NG (OUT)","RSSD","48","2018-06-22 02:10:49","42151",NULL,NULL,NULL,NULL,NULL," 42151,1,48,78,22/6/2018 2:10:49",NULL,NULL,"2018-07-02 17:08:41"
"15248","1",NULL,"66","NG (OUT)","RSSD","48","2018-06-22 02:12:49","42152",NULL,NULL,NULL,NULL,NULL," 42152,1,48,66,22/6/2018 2:12:49",NULL,NULL,"2018-07-02 17:08:41"
"15249","1",NULL,"64","NG (OUT)","RSSD","48","2018-06-22 02:14:49","42153",NULL,NULL,NULL,NULL,NULL," 42153,1,48,64,22/6/2018 2:14:49",NULL,NULL,"2018-07-02 17:08:42"
"15250","1",NULL,"62","NG (OUT)","RSSD","48","2018-06-22 02:16:49","42154",NULL,NULL,NULL,NULL,NULL," 42154,1,48,62,22/6/2018 2:16:49",NULL,NULL,"2018-07-02 17:08:42"
"15251","1",NULL,"69","NG (OUT)","RSSD","48","2018-06-22 02:18:49","42155",NULL,NULL,NULL,NULL,NULL," 42155,1,48,69,22/6/2018 2:18:49",NULL,NULL,"2018-07-02 17:08:42"
"15252","1",NULL,"81","NG (OUT)","RSSD","48","2018-06-22 02:20:49","42156",NULL,NULL,NULL,NULL,NULL," 42156,1,48,81,22/6/2018 2:20:49",NULL,NULL,"2018-07-02 17:08:43"
"15253","1",NULL,"96","NG (OUT)","RSSD","48","2018-06-22 02:22:49","42157",NULL,NULL,NULL,NULL,NULL," 42157,1,48,96,22/6/2018 2:22:49",NULL,NULL,"2018-07-02 17:08:43"
"15254","1",NULL,"56","NG (OUT)","RSSD","48","2018-06-22 02:24:49","42158",NULL,NULL,NULL,NULL,NULL," 42158,1,48,56,22/6/2018 2:24:49",NULL,NULL,"2018-07-02 17:08:43"
"15255","1",NULL,"81","NG (OUT)","RSSD","48","2018-06-22 02:26:49","42159",NULL,NULL,NULL,NULL,NULL," 42159,1,48,81,22/6/2018 2:26:49",NULL,NULL,"2018-07-02 17:08:44"
"15256","1",NULL,"106","NG (OUT)","RSSD","48","2018-06-22 02:28:49","42160",NULL,NULL,NULL,NULL,NULL," 42160,1,48,106,22/6/2018 2:28:49",NULL,NULL,"2018-07-02 17:08:44"
"15257","1",NULL,"99","NG (OUT)","RSSD","48","2018-06-22 02:30:49","42161",NULL,NULL,NULL,NULL,NULL," 42161,1,48,99,22/6/2018 2:30:49",NULL,NULL,"2018-07-02 17:08:44"
"15258","1",NULL,"120","NG (OUT)","RSSD","48","2018-06-22 02:32:49","42162",NULL,NULL,NULL,NULL,NULL," 42162,1,48,120,22/6/2018 2:32:49",NULL,NULL,"2018-07-02 17:08:45"
"15259","1",NULL,"112","NG (OUT)","RSSD","48","2018-06-22 02:34:49","42163",NULL,NULL,NULL,NULL,NULL," 42163,1,48,112,22/6/2018 2:34:49",NULL,NULL,"2018-07-02 17:08:45"
"15260","1",NULL,"94","NG (OUT)","RSSD","48","2018-06-22 02:36:49","42164",NULL,NULL,NULL,NULL,NULL," 42164,1,48,94,22/6/2018 2:36:49",NULL,NULL,"2018-07-02 17:08:45"
"15261","1",NULL,"44","NG (OUT)","RSSD","48","2018-06-22 02:38:49","42165",NULL,NULL,NULL,NULL,NULL," 42165,1,48,44,22/6/2018 2:38:49",NULL,NULL,"2018-07-02 17:08:45"
"15262","1",NULL,"81","NG (OUT)","RSSD","48","2018-06-22 02:40:49","42166",NULL,NULL,NULL,NULL,NULL," 42166,1,48,81,22/6/2018 2:40:49",NULL,NULL,"2018-07-02 17:08:46"
"15263","1",NULL,"85","NG (OUT)","RSSD","48","2018-06-22 02:42:49","42167",NULL,NULL,NULL,NULL,NULL," 42167,1,48,85,22/6/2018 2:42:49",NULL,NULL,"2018-07-02 17:08:46"
"15264","1",NULL,"110","NG (OUT)","RSSD","48","2018-06-22 02:44:49","42168",NULL,NULL,NULL,NULL,NULL," 42168,1,48,110,22/6/2018 2:44:49",NULL,NULL,"2018-07-02 17:08:46"
"15265","1",NULL,"68","NG (OUT)","RSSD","48","2018-06-22 02:46:49","42169",NULL,NULL,NULL,NULL,NULL," 42169,1,48,68,22/6/2018 2:46:49",NULL,NULL,"2018-07-02 17:08:47"
"15266","1",NULL,"111","NG (OUT)","RSSD","48","2018-06-22 02:48:49","42170",NULL,NULL,NULL,NULL,NULL," 42170,1,48,111,22/6/2018 2:48:49",NULL,NULL,"2018-07-02 17:08:47"
"15267","1",NULL,"87","NG (OUT)","RSSD","48","2018-06-22 02:50:49","42171",NULL,NULL,NULL,NULL,NULL," 42171,1,48,87,22/6/2018 2:50:49",NULL,NULL,"2018-07-02 17:08:47"
"15268","1",NULL,"90","NG (OUT)","RSSD","48","2018-06-22 02:52:49","42172",NULL,NULL,NULL,NULL,NULL," 42172,1,48,90,22/6/2018 2:52:49",NULL,NULL,"2018-07-02 17:08:47"
"15269","1",NULL,"116","NG (OUT)","RSSD","48","2018-06-22 02:54:49","42173",NULL,NULL,NULL,NULL,NULL," 42173,1,48,116,22/6/2018 2:54:49",NULL,NULL,"2018-07-02 17:08:48"
"15270","1",NULL,"88","NG (OUT)","RSSD","48","2018-06-22 02:56:49","42174",NULL,NULL,NULL,NULL,NULL," 42174,1,48,88,22/6/2018 2:56:49",NULL,NULL,"2018-07-02 17:08:48"
"15271","1",NULL,"76","NG (OUT)","RSSD","48","2018-06-22 02:58:49","42175",NULL,NULL,NULL,NULL,NULL," 42175,1,48,76,22/6/2018 2:58:49",NULL,NULL,"2018-07-02 17:08:48"
"15272","1",NULL,"104","NG (OUT)","RSSD","48","2018-06-22 03:00:49","42176",NULL,NULL,NULL,NULL,NULL," 42176,1,48,104,22/6/2018 3:0:49",NULL,NULL,"2018-07-02 17:08:49"
"15273","1",NULL,"72","NG (OUT)","RSSD","48","2018-06-22 03:02:49","42177",NULL,NULL,NULL,NULL,NULL," 42177,1,48,72,22/6/2018 3:2:49",NULL,NULL,"2018-07-02 17:08:49"
"15274","1",NULL,"62","NG (OUT)","RSSD","48","2018-06-22 03:04:49","42178",NULL,NULL,NULL,NULL,NULL," 42178,1,48,62,22/6/2018 3:4:49",NULL,NULL,"2018-07-02 17:08:49"
"15275","1",NULL,"62","NG (OUT)","RSSD","48","2018-06-22 03:06:49","42179",NULL,NULL,NULL,NULL,NULL," 42179,1,48,62,22/6/2018 3:6:49",NULL,NULL,"2018-07-02 17:08:49"
"15276","1",NULL,"63","NG (OUT)","RSSD","48","2018-06-22 03:08:49","42180",NULL,NULL,NULL,NULL,NULL," 42180,1,48,63,22/6/2018 3:8:49",NULL,NULL,"2018-07-02 17:08:50"
"15277","1",NULL,"106","NG (OUT)","RSSD","48","2018-06-22 03:10:49","42181",NULL,NULL,NULL,NULL,NULL," 42181,1,48,106,22/6/2018 3:10:49",NULL,NULL,"2018-07-02 17:08:50"
"15278","1",NULL,"95","NG (OUT)","RSSD","48","2018-06-22 03:12:49","42182",NULL,NULL,NULL,NULL,NULL," 42182,1,48,95,22/6/2018 3:12:49",NULL,NULL,"2018-07-02 17:08:50"
"15279","1",NULL,"95","NG (OUT)","RSSD","48","2018-06-22 03:14:49","42183",NULL,NULL,NULL,NULL,NULL," 42183,1,48,95,22/6/2018 3:14:49",NULL,NULL,"2018-07-02 17:08:51"
"15280","1",NULL,"104","NG (OUT)","RSSD","48","2018-06-22 03:16:49","42184",NULL,NULL,NULL,NULL,NULL," 42184,1,48,104,22/6/2018 3:16:49",NULL,NULL,"2018-07-02 17:08:51"
"15281","1",NULL,"114","NG (OUT)","RSSD","48","2018-06-22 03:18:49","42185",NULL,NULL,NULL,NULL,NULL," 42185,1,48,114,22/6/2018 3:18:49",NULL,NULL,"2018-07-02 17:08:51"
"15282","1",NULL,"83","NG (OUT)","RSSD","48","2018-06-22 03:20:49","42186",NULL,NULL,NULL,NULL,NULL," 42186,1,48,83,22/6/2018 3:20:49",NULL,NULL,"2018-07-02 17:08:52"
"15283","1",NULL,"56","NG (OUT)","RSSD","48","2018-06-22 03:22:49","42187",NULL,NULL,NULL,NULL,NULL," 42187,1,48,56,22/6/2018 3:22:49",NULL,NULL,"2018-07-02 17:08:53"
"15284","1",NULL,"83","NG (OUT)","RSSD","48","2018-06-22 03:24:49","42188",NULL,NULL,NULL,NULL,NULL," 42188,1,48,83,22/6/2018 3:24:49",NULL,NULL,"2018-07-02 17:08:53"
"15285","1",NULL,"54","NG (OUT)","RSSD","48","2018-06-22 03:26:49","42189",NULL,NULL,NULL,NULL,NULL," 42189,1,48,54,22/6/2018 3:26:49",NULL,NULL,"2018-07-02 17:08:53"
"15286","1",NULL,"92","NG (OUT)","RSSD","48","2018-06-22 03:28:49","42190",NULL,NULL,NULL,NULL,NULL," 42190,1,48,92,22/6/2018 3:28:49",NULL,NULL,"2018-07-02 17:08:53"
"15287","1",NULL,"115","NG (OUT)","RSSD","48","2018-06-22 03:30:49","42191",NULL,NULL,NULL,NULL,NULL," 42191,1,48,115,22/6/2018 3:30:49",NULL,NULL,"2018-07-02 17:08:54"
"15288","1",NULL,"96","NG (OUT)","RSSD","48","2018-06-22 03:32:49","42192",NULL,NULL,NULL,NULL,NULL," 42192,1,48,96,22/6/2018 3:32:49",NULL,NULL,"2018-07-02 17:08:54"
"15289","1",NULL,"81","NG (OUT)","RSSD","48","2018-06-22 03:34:49","42193",NULL,NULL,NULL,NULL,NULL," 42193,1,48,81,22/6/2018 3:34:49",NULL,NULL,"2018-07-02 17:08:54"
"15290","1",NULL,"66","NG (OUT)","RSSD","48","2018-06-22 03:36:49","42194",NULL,NULL,NULL,NULL,NULL," 42194,1,48,66,22/6/2018 3:36:49",NULL,NULL,"2018-07-02 17:08:54"
"15291","1",NULL,"42","NG (OUT)","RSSD","48","2018-06-22 03:38:49","42195",NULL,NULL,NULL,NULL,NULL," 42195,1,48,42,22/6/2018 3:38:49",NULL,NULL,"2018-07-02 17:08:55"
"15292","1",NULL,"84","NG (OUT)","RSSD","48","2018-06-22 03:40:49","42196",NULL,NULL,NULL,NULL,NULL," 42196,1,48,84,22/6/2018 3:40:49",NULL,NULL,"2018-07-02 17:08:55"
"15293","1",NULL,"75","NG (OUT)","RSSD","48","2018-06-22 03:42:49","42197",NULL,NULL,NULL,NULL,NULL," 42197,1,48,75,22/6/2018 3:42:49",NULL,NULL,"2018-07-02 17:08:55"
"15294","1",NULL,"97","NG (OUT)","RSSD","48","2018-06-22 03:44:49","42198",NULL,NULL,NULL,NULL,NULL," 42198,1,48,97,22/6/2018 3:44:49",NULL,NULL,"2018-07-02 17:08:56"
"15295","1",NULL,"33","NG (OUT)","RSSD","48","2018-06-22 03:46:49","42199",NULL,NULL,NULL,NULL,NULL," 42199,1,48,33,22/6/2018 3:46:49",NULL,NULL,"2018-07-02 17:08:56"
"15296","1",NULL,"92","NG (OUT)","RSSD","48","2018-06-22 03:48:49","42200",NULL,NULL,NULL,NULL,NULL," 42200,1,48,92,22/6/2018 3:48:49",NULL,NULL,"2018-07-02 17:08:56"
"15297","1",NULL,"105","NG (OUT)","RSSD","48","2018-06-22 03:50:49","42201",NULL,NULL,NULL,NULL,NULL," 42201,1,48,105,22/6/2018 3:50:49",NULL,NULL,"2018-07-02 17:08:56"
"15298","1",NULL,"103","NG (OUT)","RSSD","48","2018-06-22 03:52:49","42202",NULL,NULL,NULL,NULL,NULL," 42202,1,48,103,22/6/2018 3:52:49",NULL,NULL,"2018-07-02 17:08:57"
"15299","1",NULL,"64","NG (OUT)","RSSD","48","2018-06-22 03:54:49","42203",NULL,NULL,NULL,NULL,NULL," 42203,1,48,64,22/6/2018 3:54:49",NULL,NULL,"2018-07-02 17:08:57"
"15300","1",NULL,"71","NG (OUT)","RSSD","48","2018-06-22 03:56:49","42204",NULL,NULL,NULL,NULL,NULL," 42204,1,48,71,22/6/2018 3:56:49",NULL,NULL,"2018-07-02 17:08:57"
"15301","1",NULL,"103","NG (OUT)","RSSD","48","2018-06-22 03:58:49","42205",NULL,NULL,NULL,NULL,NULL," 42205,1,48,103,22/6/2018 3:58:49",NULL,NULL,"2018-07-02 17:08:57"
"15302","1",NULL,"91","NG (OUT)","RSSD","48","2018-06-22 04:00:49","42206",NULL,NULL,NULL,NULL,NULL," 42206,1,48,91,22/6/2018 4:0:49",NULL,NULL,"2018-07-02 17:08:58"
"15303","1",NULL,"72","NG (OUT)","RSSD","48","2018-06-22 04:02:49","42207",NULL,NULL,NULL,NULL,NULL," 42207,1,48,72,22/6/2018 4:2:49",NULL,NULL,"2018-07-02 17:08:58"
"15304","1",NULL,"49","NG (OUT)","RSSD","48","2018-06-22 04:04:49","42208",NULL,NULL,NULL,NULL,NULL," 42208,1,48,49,22/6/2018 4:4:49",NULL,NULL,"2018-07-02 17:08:58"
"15305","1",NULL,"59","NG (OUT)","RSSD","48","2018-06-22 04:06:49","42209",NULL,NULL,NULL,NULL,NULL," 42209,1,48,59,22/6/2018 4:6:49",NULL,NULL,"2018-07-02 17:08:59"
"15306","1",NULL,"65","NG (OUT)","RSSD","48","2018-06-22 04:08:49","42210",NULL,NULL,NULL,NULL,NULL," 42210,1,48,65,22/6/2018 4:8:49",NULL,NULL,"2018-07-02 17:08:59"
"15307","1",NULL,"76","NG (OUT)","RSSD","48","2018-06-22 04:10:49","42211",NULL,NULL,NULL,NULL,NULL," 42211,1,48,76,22/6/2018 4:10:49",NULL,NULL,"2018-07-02 17:08:59"
